a lot	a lot: adv. muito
abuse	n 1 abuso, mau uso, uso excessivo. 2 tratamento áspero ou brutal de uma pessoa. 3 injúria, insulto, linguagem ofensiva. 4 corrupção, depravação. 5 abuses contrariedades. • [2bj´u:z] vt 1 abusar, usar mal. 2 maltratar, prejudicar. 3 injuriar, insultar, ofender. a crying abuse um abuso gritante.
abyss	n 1 abismo, garganta, precipício. 2 profundidades da terra ou do mar. 3 inferno, caos.
academic	 n acadêmico: estudante ou professor universitário. • adj acadêmico: 1 universitário. 2 erudito, douto. 3 teórico, teorético. 4 convencional, formal. academic award prêmio acadêmico. academic discussions discussões teóricas. academic freedom liberdade do ensino universitário, liberdade acadêmica. academic life vida acadêmica. academic year ano letivo das universidades.
acceleration	n 1 aceleração. 2 aumen­to gradual da velocidade. 3 proporção de alteração da velocidade.
accent	n 1 acento, pronúncia silábica, tonicidade. 2 acento gráfico, marca ou símbolo da acentuação. 3 pronúncia característica, sotaque. he has a French accent / ele tem um sotaque francês. 4 accents tonalidade, timbre da voz. 5 sinal diacrítico. 6 Poet ênfase, cadência métrica. 7 Mus modulação rítmica, acentuação da melodia. • [æks´ent] vt 1 pronunciar, acentuar, modular, cadenciar. 2 pôr os sinais diacríticos. 3 dar ênfase, destacar, salientar. the Cockney accent o sotaque do Cockney. to put the accent on pôr acento em.
accept	vt+vi 1 aceitar, receber. accept the assurance of my highest consideration / queira acei­tar a expressão da minha mais alta consideração. 2 concordar, consentir. 3 reconhecer, acreditar. 4 aprovar, admitir. 5 assumir a responsabilidade. 6 acolher.
acceptable	adj 1 aceitável, admis­sí­vel, satisfatório. acceptable sampling / amos­tragem aceitável. 2 agradável, bem-vindo.
acceptance	n 1 aceitação. 2 boa acolhida. 3 aprovação, consentimento. 4 acordo, contrato. acceptance of life concepção positiva da vida. acceptance test ensaio de homologação ou recepção.
access	n 1 acesso, admissão. 2 passagem. 3 aproximação. 4 acessibilidade: facilidade relativa de obtenção. 5 ataque de doença ou de raiva. an access of emotion um acesso de comoção. difficult of access de difícil acesso.
accident	 n 1 acidente, desastre, sinistro. 2 casualidade, contingência, acaso. 3 bagatela, insignificância. a car accident um acidente de carro. accident death morte por acidente. accident insurance seguro contra acidentes. accident prone propenso a acidentes. by accident por acaso. in a railway accident num desastre ferroviário.
accidentally	adv acidentalmente.
accommodate	vt+vi 1 acomodar, hospedar. 2 obsequiar, fazer um favor. he did it to accommodate you / ele o fez para obsequiá-lo. 3 prover, abrigar, aprovisionar. 4 fornecer, suprir. 5 emprestar (dinheiro). 6 adaptar, ajustar, tornar conveniente.
accommodation	n 1 acomodação, morada, alojamento. 2 auxílio, favor. 3 empréstimo, adiantamento. 4 prestimosidade, boa vontade, obsequiosidade. 5 adaptação, ajustamento. accommodation for books espaço para livros. accommodation for people acomodação para pessoas.
accompanier	accompanier: n. acompanhante
accompany	vt+vi 1 acompanhar, ir em companhia, escoltar. 2 participar, associar. 3 seguir, unir-se a. 4 Mus tocar o acompanhamento, fazer-se acompanhar (por instrumentos).
accomplish	vt 1 executar, realizar, efetuar. 2 concluir, completar, finalizar.
accord	n 1 acordo. I do this of my own accord / faço isto por iniciativa própria. the decision was in accord with popular wish / a decisão estava de acordo com o desejo popular. 2 concordância. they agreed with one accord / eles concordaram unanimemente. 3 harmonia. 4 tratado, pacto, convênio. • vt+vi 1 concordar, estar de acordo. the article accorded with our policy / o artigo estava de acordo com nossa política. 2 conceder, dar, conferir, consentir. 3 harmonizar. 4 atender.
according	adj 1 de acordo, em conformidade (to com). 2 correspondente (to a). • adv 1 conformemente, adequadamente. 2 portanto, conseqüentemente. that’s according coll conforme.
according to	prep 1 de acordo com, conforme. he did everything according to our plans / ele executou tudo de acordo com nossos planos. 2 dependendo de. they all accomplished their tasks according to their abilities / eles todos completaram suas tarefas dependendo de suas habilidades.
account	n 1 conta, cálculo, cômputo. we have an account at the best stores / temos conta nas melhores lojas. 2 razão, causa. 3 valor. 4 importância. 5 extrato de conta ou balanço. 6 relatório de negócios, prestações, crédito, etc. 7 conto, relato. 8 prestação de contas. • vt+vi 1 calcular, acertar contas, prestar contas. can you account for it? / você pode prestar esclarecimentos a respeito? 2 considerar, ter em conta, julgar. account for building costs orçamento para construções civis. a man of great account um homem respeitado. a person of no account uma pessoa sem importância ou insignificante. bank account conta bancária. by all account de acordo com a opinião geral. of no account sem importância, insignificante. on account por conta, a prazo. on account of por causa de, a bem de, no interesse de. on my own account para mim, por iniciativa própria. on no account em hipótese alguma. on that account por causa disto, por esta razão. to account for prestar contas, responder por, ter por, considerar. that accounts for everything / isto esclarece tudo. to be much (or little) accounted of ser muito (ou pouco) apreciado. to call to account reclamar explicação. to carry to a new account lançar a uma nova conta. to keep accounts escriturar, registrar. to leave out of account desconsiderar, negligenciar. to make a great account of considerar, estimar. to make no account of menosprezar, desprezar. to place it to his account lançar ao débito de sua conta. to settle on account liquidar uma conta. to take account of a) tomar em consideração, considerar. b) tomar nota. to take into account permitir, considerar. upon all accounts em todo caso. upon my account por minha causa.
accountancy	n contabilidade.
accounting	 n contabilidade, princípios teóricos (ou prática) de contabilidade.
accumulate	vt+vi acumular(-se), ajuntar(-se), amontoar(-se), multiplicar-se, reunir.
accumulator	n acumulador.
accuracy	n exatidão, pontualidade, precisão, retidão. accuracy of work exatidão do trabalho (de homem). accuracy to shape exatidão das medidas (do molde). accuracy to size exatidão das medidas. working accuracy precisão do trabalho (de máquinas).
accuse	 vt 1 acusar, denunciar (of por causa de, before, to junto a). 2 censurar, repreender.
accustom	vt acostumar, familiarizar, habituar(-se) (to a).
acetonemia	n Med acetonemia: presença de acetona no sangue.
achieve	 vt+vi 1 concluir, terminar ou completar com êxito. 2 realizar, conseguir, alcançar, conquistar.
achingly	adv doloridamente.
acknowledge	vt 1 admitir, confessar. I acknowledge it / eu o admito. 2 reconhecer, validar. I acknowledge the truth of it, I acknowledge it to be true / reconheço que é verdade. do you acknowledge this signature? / você reconhece esta assinatura? 3 apreciar, agradecer. 4 acusar, confirmar o recebimento de. he acknowledged my presence with a wink / ele mostrou ter notado minha presença com um piscar de olhos. 5 certificar, autorizar, aprovar.
acquaintanceship	n relações pessoais.
acquire	 vt 1 adquirir, obter, ganhar, granjear. 2 alcançar, conquistar. 3 comprar. 4 contrair (hábito).
acquisition	n 1 aquisição, ganho, obtenção, conquista. she is a great acquisition in our circle / ela é um elemento de valor em nosso grupo. 2 compra.
acrimoniously	adv acrimoniosamente, causticamente.
act	 n 1 ato, ação. 2 feito, procedimento, obra. 3 divisão de uma peça teatral. 4 número de programa (circo, variedades). 5 decreto, lei, decisão legislativa. 6 auto, documento. • vi 1 agir, atuar, proceder. 2 funcionar. this lock won’t act / esta fechadura não funciona. 3 portar-se, conduzir-se. 4 comportar-se, fingir-se, simular. 5 influir, influenciar, produzir efeito. the medicine did not act / o remédio não fez efeito. 6 desempenhar (um papel), representar. the play acts well / a peça agrada, a peça desenvolve-se bem no palco. act and deed documento legal. act of faith ato de fé. act of God força maior. act of grace ato de clemência. act of Parliament ata de parlamento. in the act em flagrante. to act as, to act for substituir, fazer o serviço de, desempenhar o papel de. to act by agir para com (uma pessoa). to act on, upon ter efeito sobre, influenciar. to act out expressar em ações. children act out what they see / as crianças expressam em ações o que vêem. to act up 1 agir de maneira diferente do normal ou esperado. 2 comportar-se de maneira volúvel. 3 apresentar defeito. my washer often acts up / minha lavadora apresenta defeito com freqüência. to act up to agir de acordo com.abbr 1 active (ativo). 2 actor (ator). 3 actual (real).
action	 n 1 ação, funcionamento. suit the action to the word / adapte a ação às suas palavras. 2 atividade, energia. 3 ato, efeito, empreendimento. 4 força, influência, poder. 5 movimento, acionamento. 6 mecanismo, maquinismo. 7 batalha, combate. the soldier died in action / o soldado morreu em combate. 8 encontro armado, choque de tropas. 9 entrecho, enredo, seqüência de cenas (teatro). 10 processo, ação judicial. 11 actions conduta, comportamento. 12 sl excitamento, jogo ilícito, relação sexual. action for damages Jur queixa de indenização por perdas e danos. action in tort ação ilícita. action of assumpsit Jur ação judicial por quebra de contrato. action of ejectment Jur ação judicial de reintegração de posse. action on a bill protesto de uma letra de câmbio por falta de aceitação, pagamento, etc. action to set aside Jur ação judicial de contestação ou anulação. action upon appeal apelação, recurso. full of action ativo, enérgico, vivo. in action em atividade, em movimento. personal action queixa obrigatória. previous action Jur ação preliminar. real action Jur ação real. the action of radium o efeito do radium. to bring (ou lay) an action against intentar uma ação em juízo. to carry (ou put) into action realizar, executar. to put out of action pôr fora do combate. to take action a) agir, proceder. b) iniciar o trabalho. c) Jur processar, iniciar uma ação judicial.
active	adj 1 ativo, expedito, diligente. 2 vivo, rápido, ágil. 3 movimentado, atarefado, animado. 4 efetivo, vigoroso, laborioso, assíduo. 5 progressivo, produtivo. 6 Gram ativo.
actively	adv 1 ativamente. 2 vivamente. 3 rapidamente. 4 efetivamente. 5 assiduamente.
activity	 n 1 atividade, diligência, presteza. 2 ação, feito, vivacidade, movimento. 3 afazeres, campo de ação. 4 força, energia.
actor	 n 1 ator. 2 autor, agente principal (de um acontecimento).
actual	adj 1 presente, vigente. 2 verdadeiro, real, efetivo. actual horse power n Tech cavalos efetivos.
actuality	 n 1 realidade. 2 fato.
actually	adv verdadeiramente.
actuate	 vt 1 acionar, pôr em movimento, impulsionar. the spring actuates the trap / a mola aciona a armadilha. 2 influenciar, estimular, incitar. she was actuated by desire for fame / ela foi estimulada pelo desejo da fama.
acute	adj agudo: 1 pontiagudo, aguçado, afiado. 2 severo, crítico. 3 repentino. 4 vívido, penetrante, arguto, sensitivo. 5 intenso, forte, pungente (dor). 6 alto (som), estridente. 7 acentuado: assinalado com acento agudo.
acutely	adv agudamente, severamente, intensamente, acentuadamente. 
ad	 abbr Anno Domini (no ano do Senhor). n (forma abreviada de advertisement) anúncio publicitário. to put up ads in a paper / pôr ou publicar anúncios no jornal.
adapt	vi+vt 1 adaptar, ajustar, acomodar. she adapted herself to circumstances / ela adaptou-se às circunstâncias. 2 apropriar, alterar.
adaptation	 n adaptação, acomodação, ajustamento.
add	vt+vi 1 adicionar, somar. 2 juntar, ajuntar, anexar. 3 aumentar, acrescentar. this adds to our difficulties / isto aumenta ainda as nossas dificuldades. 4 continuar a falar ou escrever. he added ele acrescentou, ele mencionou ainda. to add in incluir. to add to contribuir. to add up ou together somar, fazer adição. to add up to chegar a um resultado ou conclusão, concluir.
addict	n viciado. • [2d´ikt] vt 1 dedicar(-se), devotar-se. 2 habituar(-se), viciar(-se). drug addict viciado em drogas, toxicômano. to addict oneself 1 dedicar-se. 2 entregar-se (a um vício).
additional	adj adicional, suplementar.
additionally	adv adicionalmente.
address	 n 1 discurso. 2 sede (de uma firma), residência, local. 3 endereço. what’s your home/business address? / qual o seu endereço residencial/comercial? 4 trato, atitude, maneiras. 5 pl addresses corte, atenções. • [2dr´es] vt 1 discursar, dirigir-se a (oralmente ou por escrito). 2 tratar, intitular. 3 chamar a atenção. 4 falar ou recorrer a. 5 endereçar, indicar o destinatário. 6 devotar(-se), dedicar(-se). to address a meeting fazer uso da palavra numa reunião. to adress oneself to dirigir-se a, interessar-se por. to give an adress fazer um discurso.
adduce	vt aduzir, apresentar provas ou razões, citar, exemplificar.
adequately	adv 1 apropriadamente. 2 adequadamente, suficientemente. 
adhesion	 n 1 adesão, aderência. 2 fidelidade, lealdade. 3 concordância, consentimento. 4 Bot concrescência. 5 Med coalescência.
adjacent	adj adjacente, próximo, limítrofe, confinante, vizinho. 
adjective	n adjetivo. • adj adjetivo, adjetival.
adjust	 vt+vi 1 ajustar, adaptar, arranjar. 2 regular, acertar, consertar, retificar, pôr em ordem. 3 liquidar (contas), saldar, encerrar (negócios). 4 acostumar(-se), acomodar(-se). 5 harmonizar, conciliar. 6 superar dificuldades.
administer	vt+vi 1 administrar: a) dirigir, governar, gerir. they administer the country / eles governam o país. b) aplicar, dispensar, conferir, auxiliar, ministrar. the priest administered the last sacraments / o padre ministrou (deu) a extrema-unção. c) dar, fornecer, prover. the doctor administered a dose of medicine / o médico ministrou (deu) uma dose de remédio. d) tomar conta (de fazenda, prédios, etc.), reger, superintender. e) exercer o cargo de administrador. f) socorrer, concorrer, ajudar, contribuir. she administered help to poor people / ela ajudou pessoas pobres. 2 prestar ou oferecer juramento.
administration	n 1 administração, gerência, direção. 2 governo. 3 ministério, ministro, funcionários administrativos. 4 Amer o presidente e seu gabinete de ministros. 5 termo de gestão de um governo. 6 ministração, aplicação, distribuição. 7 Med tratamento, ato de dar ou tomar medicamentos. 8 Jur curadoria.
administrative	adj administrativo, executivo.
administrator	n 1 administrador. 2 Jur curador.
admiration	n 1 admiração, afeição, simpatia, apreciação, reverência. 2 prazer, encanto. 3 objeto de admiração. 4 arch maravilha.
admire	 vt 1 admirar, apreciar, prezar. 2 falar ou contemplar com admiração, reverenciar, adorar. 3 Amer gostar de alguém. 4 arch ficar maravilhado.
admit	 vt+vi 1 admitir: a) aceitar, permitir, consentir, acolher. to admit into one’s confidence / fazer alguém seu confidente. b) reconhecer (a verdade), confessar, revelar. he admited being guilty / ele admitiu ser culpado. 2 conceder o direito (de passagem, entrada, uso). this ticket admits two / este bilhete vale para duas pessoas. 3 tolerar. 4 comportar, necessitar. 5 acomodar. to admit of a doubt dar margem a dúvidas. to admit to bar autorizar a prática da advocacia.
adopt	vt adotar: 1 aceitar, admitir, abraçar (princípios). 2 aprovar, reconhecer. 3 selecionar livro para uso didático.
adoption	 n 1 adoção. 2 reconhecimento, aprovação.
adoptive	adj adotivo. they have an adoptive son / eles têm um filho adotivo.
adrenalin	n Pharm adrenalina.
adulatory	adj adulatório.
adult	 n 1 adulto. 2 planta ou animal completamente desenvolvido. • adj adulto. school for adults escola para adultos.
adultery	 n adultério.
advance	 n 1 avanço, avançada. 2 progresso, melhoramento, melhoria, melhora. 3 aumento, acréscimo, elevação. 4 adiantamento, antecipação, pagamento antecipado. 5 mercadoria recebida com antecipação. 6 empréstimo. 7 advances primeiros passos para entabular entendimentos ou entrar em contato com alguém. 8 oferta. 9 promoção, ascensão, elevação (no cargo). • vt+vi 1 avançar, investir. 2 marchar para a frente, levar para diante. 3 progredir, melhorar, desenvolver. 4 auxiliar, ajudar, favorecer, animar, fomentar. 5 promover, subir (no cargo ou posição), fazer progredir. 6 aumentar, encarecer. 7 apressar, acelerar, antecipar. 8 adiantar, pagar ou suprir antecipadamente. 9 emprestar, ceder. 10 sugerir, aventar. 11 explicar, expor. • adj 1 avançado. 2 adiantado, antecipado. in advance na frente, adiantado. payment in advance pagamento adiantado. to be in advance of someone estar à frente de alguém.
advancement	n 1 avanço, adiantamento. 2 progresso, melhoramento, melhoria. 3 promoção, elevação (de categoria), subida de posto.
advantage	 n 1 vantagem, primazia, superioridade. 2 imposição. 3 predominância, preponderância. 4 benefício, lucro, prerrogativa. 5 proveito, aproveitamento. 6 Sport primeiro ponto ganho no jogo de tênis após o empate (de 40 pontos). • vt favorecer, oferecer vantagens, beneficiar. seen to advantage na melhor hipótese. to take advantage of 1 aproveitar, tirar partido ou vantagem. 2 impor. to the best advantage com o maior proveito ou lucro. to your advantage no seu interesse.
adventitiously	adv adventiciamente.
adventure	n 1 aventura, peripécia. 2 façanha, proeza. 3 coragem, ousadia, arrojo. 4 negócio arriscado, especulação. • vt+vi aventurar(-se), arriscar(-se), atrever(-se), ousar. a life of adventure uma vida de aventuras.
advert	 vi 1 advertir, chamar a atenção a (alguma coisa), fazer ver a, atentar a. 2 referir(-se) a, aludir a.
advertise	advertise: anunciar
advertisement	n anúncio, propaganda.
advertising	n 1 publicidade, propaganda. 2 anúncio, cartaz.
advice	 n 1 conselho, parecer, recomendação, opinião. my advice to you is / eu o aconselho a. 2 informação, comunicação, notícia, novidade. a piece of advice um (bom) conselho. as per advice conforme notícias. by the advice of a conselho de.
advisable	 adj 1 aconselhável, recomendável. 2 apropriado, oportuno. 3 conveniente.
advise	 vt+vi 1 aconselhar, recomendar, advertir. 2 avisar, informar, cientificar. 3 consultar, receber ou tomar conselhos. 4 deliberar, refletir (on, about sobre).
advisory	 adj consultivo, aconselhador.
advocate	n patrono, defensor (perante a justiça), protetor, Brit advogado. • [´ædv2keit] vt advogar, defender.
aeolian	 adj eólio, eólico.
aeolipile	n = aeolipyle.
aerial	 n Radio antena. • adj 1 aéreo, atmosférico. 2 leve, fino, gasoso, etéreo. 3 ideal. 4 imaginário, imaterial. 5 que vive e cresce no ar. 6 alto, elevado. 7 aviatório. frame aerial Radio antena de quadro.
aerodrome	 n aeródromo, aeroporto.
aerogram	 n radiograma, aerograma.
aerologist	n aerologista, aerólogo: especialista em aerologia.
aeronautic	 adj aeronáutico.
aesthesia	 n faculdade de sentir, sensibilidade.
aesthetic	 adj estético, harmonioso.
affair	 n 1 afazeres de qualquer natureza, ocupação, obrigação. 2 affairs negócios (de Estado ou de finanças). 3 acontecimento, incidente, ocorrência. 4 questão, caso particular, assunto reservado. that is my affair! / isto é comigo! that is not my affair! / isto não me importa! 5 coll coisa. a splendid affair / uma coisa espetacular. 6 romance, namoro. he has an affair with / ele tem um caso com. affair of honour questão de honra, duelo. Minister of Foreign Affairs Ministro das Relações Exteriores. to make an affair of something exagerar, promover uma tempestade num copo d’água.
affect	 n 1 sentimento, inclinação, paixão. 2 Psych afeto. • vt fingir, assumir, simular, aparentar. he affected not to know her / ele fez de conta que não a conhecia. to affect indifference aparentar indiferença. vt 1 afetar, ter influência sobre, produzir efeito. 2 Med atacar, contaminar. 3 abalar, agitar, causar emoções.
affirm	 vt+vi 1 afirmar, asseverar, assegurar. 2 firmar, confirmar, certificar, ratificar. 3 Jur declarar solenemente (sem prestar juramento).
affirmation	 n 1 Jur afirmação solene (equivalente ao juramento), atestação, declaração, asserção. 2 ratificação, confirmação.
afford	 vt 1 dispor de economias, poder gastar, ter recursos. I can afford to take a taxi / posso arcar com as despesas de um táxi. I can’t afford travelling now / não tenho recursos para viajar agora. 2 permitir-se, dar-se o luxo de, arranjar (tempo, dinheiro). 3 proporcionar, propiciar, causar. it affords me great satisfaction / isto me proporciona grande satisfação. 4 fornecer, dar, produzir. the land affords minerals / o solo fornece minerais.
african	African: adj. africano
after	 adj 1 subseqüente, ulterior, posterior, seguinte. 2 Naut de popa ou ré. • adv 1 atrás, detrás, em seguida. the dog trots after him / o cão corre atrás dele. 2 depois, após, posteriormente. this was after I had married / isto foi após o meu casamento. • conj depois que, logo que. • prep 1 atrás de, após, depois de. what are you after? / atrás de que você anda? 2 em seguimento a, em seqüência a. 3 em perseguição de, ao encalço de. 4 acerca de, a respeito de, sobre. 5 por causa de, em conseqüência de. I was named after my grandmother / eu recebi o nome da minha avó. 6 à maneira de, à moda de. 7 abaixo de, inferior a. 8 segundo, de acordo com, conforme. 9 em atenção a, em consideração a, em homenagem a. after all afinal. after date of delivery após a data de entrega. after death the doctor trancar a porta depois que o ladrão entrou. after hours após o expediente. after this fashion deste modo. day after day dia após dia. in after years em anos vindouros. six months after seis meses depois. the after sail a vela de popa. the day after tomorrow depois de amanhã. the month after next o mês após o próximo. the morning after na manhã seguinte. to ask after perguntar por. to follow after seguir imediatamente. to long after pretender, desejar alguma coisa, ter saudade de. to look after tomar conta de, cuidar de.
after this manner	after this manner: adv. desta guisa
afternoon	 n tarde. • adj vesperal, na tarde, de ou relativo à tarde. every Wednesday afternoon toda quarta-feira à tarde. good afternoon boa-tarde. late afternoon à noitinha. this afternoon hoje à tarde.
afterwards	 adv posteriormente, subseqüentemente, mais tarde.
again	 adv 1 mais uma vez, de novo, novamente, outra vez. I shall call again / voltarei a chamar, chamarei de novo (pelo telefone). 2 em resposta, em retribuição. 3 de volta ao mesmo lugar ou à mesma pessoa. 4 além disso, demais, porém. 5 por outro lado. again and again freqüentemente, muitas vezes. as much again duas vezes mais, o dobro. ever and again, now and again de vez em quando. over again mais uma vez. time and again sempre de novo, repetidas vezes. to come again voltar. to try again tentar novamente.
against	prep 1 contra, contrário. I am against war / sou contra a guerra. that is against him / isto depõe contra ele. 2 em oposição a, oposto a. 3 defronte, diante. 4 em contraste com, em comparação com. 5 em contato com, junto a. 6 em preparação para, em previsão de. 7 em defesa de. against documents mediante apresentação de documentos. against morals contra os bons costumes. against the grain contra a própria convicção, com aversão. against your arrival na expectativa da sua chegada. against the stream contra a correnteza. to dry against the fire secar ao fogo. to fight against lutar contra. to knock against colidir com. to run up against encontrar por acaso. I ran up against my friend / encontrei por acaso meu amigo.
age	 n 1 idade. he is her age / ele tem a idade dela. what age do you give him? / qual é a idade que você lhe dá? he does not look his age / ele parece mais moço do que é. 2 período de vida alcançado. 3 velhice, idade avançada. 4 duração provável da vida, probabilidade de vida. 5 Psych desenvolvimento intelectual (em comparação com a norma). 6 século, período histórico, era, época. 7 geração. 8 ages, an age coll período extenso. I have been waiting ages / esperei uma eternidade. • vt+vi 1 envelhecer, ficar velho. 2 sazonar, amadurecer. age-bracket faixa etária. age of manhood idade viril. age of minority menoridade. at a great age numa idade avançada. at an early age bem cedo na vida. be your age não seja infantil. down the ages através dos séculos. he is under age ele é menor. in old age na idade madura. in our age em nossa época. in tender age na infância. of age maioridade. the Middle Ages a Idade Média. to a great age até à extrema velhice. to be over age ter passado o limite de idade. to come of age atingir a maioridade.
agency	 n 1 ação, atividade, função. 2 agência: a) representação, mediação, intervenção. b) escritório de representações, filial de repartição pública, bancária ou comercial. employment agency agência de empregos.
agent	 n 1 agente: a) representante, corretor, comissário. b) administrador. c) causa, força, agente natural. 2 coll vendedor. 3 Chem reagente. free agent pessoa que age independentemente. physical agents forças naturais.
aggrandizer	 n engrandecedor.
aggravate	 vt 1 agravar, piorar, exacerbar. 2 coll importunar, irritar, provocar.
aggressive	 adj 1 agressivo, ofensivo. 2 Amer ativo, dinâmico. an aggressive executive um executivo dinâmico.
